Canal,Hora,N̼m. entradas,No. Salida
2,2025-07-02 00:00:00,0,0
2,2025-07-02 01:00:00,0,0
2,2025-07-02 02:00:00,0,0
2,2025-07-02 03:00:00,0,0
2,2025-07-02 04:00:00,0,0
2,2025-07-02 05:00:00,0,0
2,2025-07-02 06:00:00,0,0
2,2025-07-02 07:00:00,0,0
2,2025-07-02 08:00:00,0,0
2,2025-07-02 09:00:00,2,1
2,2025-07-02 10:00:00,1,1
2,2025-07-02 11:00:00,5,4
2,2025-07-02 12:00:00,9,8
2,2025-07-02 13:00:00,8,7
2,2025-07-02 14:00:00,7,4
2,2025-07-02 15:00:00,17,21
2,2025-07-02 16:00:00,4,3
2,2025-07-02 17:00:00,10,10
2,2025-07-02 18:00:00,3,6
2,2025-07-02 19:00:00,0,1
2,2025-07-02 20:00:00,0,0
2,2025-07-02 21:00:00,0,0
2,2025-07-02 22:00:00,0,0
2,2025-07-02 23:00:00,0,0
